"rgn_id","sector","year","value"
1,"cf",2003,6448.1529
2,"cf",2003,6448.1529
1,"cf",2004,4123.0084
2,"cf",2004,4123.0084
1,"cf",2005,4073.8873
2,"cf",2005,4073.8873
1,"cf",2006,2621.6113
2,"cf",2006,2621.6113
1,"cf",2007,726.7708
2,"cf",2007,726.7708
1,"cf",2008,619.7485
2,"cf",2008,619.7485
1,"mar",2003,0
2,"mar",2003,0
1,"mar",2004,0
2,"mar",2004,0
1,"mar",2005,0
2,"mar",2005,0
1,"mar",2006,0
2,"mar",2006,0
1,"mar",2007,0
2,"mar",2007,0
1,"mar",2008,0
2,"mar",2008,0
1,"tour",2005,20256.3349575
2,"tour",2005,20256.3349575
1,"tour",2006,21916.2290721
2,"tour",2006,21916.2290721
1,"tour",2007,22281.9684533
2,"tour",2007,22281.9684533
1,"tour",2008,23801.1935751
2,"tour",2008,23801.1935751
1,"tour",2009,22085.0318634
2,"tour",2009,22085.0318634
1,"tour",2010,20256.3349575
2,"tour",2010,20256.3349575
