"rgn_id","product","year","usd"
1,"fish_oil",1993,81.6666666666667
2,"fish_oil",1993,81.6666666666667
1,"fish_oil",1994,74.5
2,"fish_oil",1994,74.5
1,"fish_oil",1995,68.75
2,"fish_oil",1995,68.75
1,"fish_oil",1996,61.5
2,"fish_oil",1996,61.5
1,"fish_oil",1997,69.25
2,"fish_oil",1997,69.25
1,"fish_oil",1998,100.25
2,"fish_oil",1998,100.25
1,"fish_oil",1999,155.75
2,"fish_oil",1999,155.75
1,"fish_oil",2000,226.25
2,"fish_oil",2000,226.25
1,"fish_oil",2001,270
2,"fish_oil",2001,270
1,"fish_oil",2002,267
2,"fish_oil",2002,267
1,"fish_oil",2003,265.25
2,"fish_oil",2003,265.25
1,"fish_oil",2004,227.25
2,"fish_oil",2004,227.25
1,"fish_oil",2005,227
2,"fish_oil",2005,227
1,"fish_oil",2006,277.75
2,"fish_oil",2006,277.75
1,"fish_oil",2007,274.25
2,"fish_oil",2007,274.25
1,"fish_oil",2008,303
2,"fish_oil",2008,303
1,"fish_oil",2009,441
2,"fish_oil",2009,441
1,"fish_oil",2010,465.333333333333
2,"fish_oil",2010,465.333333333333
1,"fish_oil",2011,570
2,"fish_oil",2011,570
1,"seaweeds",1994,14
2,"seaweeds",1994,14
1,"seaweeds",1995,10.5
2,"seaweeds",1995,10.5
1,"seaweeds",1996,7.75
2,"seaweeds",1996,7.75
1,"seaweeds",1997,8.75
2,"seaweeds",1997,8.75
1,"seaweeds",1998,10
2,"seaweeds",1998,10
1,"seaweeds",1999,20
2,"seaweeds",1999,20
1,"seaweeds",2000,30.5
2,"seaweeds",2000,30.5
1,"seaweeds",2001,34
2,"seaweeds",2001,34
1,"seaweeds",2002,36.75
2,"seaweeds",2002,36.75
1,"seaweeds",2003,32.25
2,"seaweeds",2003,32.25
1,"seaweeds",2004,26
2,"seaweeds",2004,26
1,"seaweeds",2005,31.25
2,"seaweeds",2005,31.25
1,"seaweeds",2006,63.75
2,"seaweeds",2006,63.75
1,"seaweeds",2007,88.25
2,"seaweeds",2007,88.25
1,"seaweeds",2008,140.75
2,"seaweeds",2008,140.75
1,"seaweeds",2009,228.5
2,"seaweeds",2009,228.5
1,"seaweeds",2010,250.666666666667
2,"seaweeds",2010,250.666666666667
1,"seaweeds",2011,316
2,"seaweeds",2011,316
