"rgn_id","sector","year","value"
1,"cf",2001,1584.61228938524
2,"cf",2001,1584.61228938524
1,"cf",2002,1592.88959557515
2,"cf",2002,1592.88959557515
1,"cf",2003,2361.43471916177
2,"cf",2003,2361.43471916177
1,"cf",2004,2444.01215556001
2,"cf",2004,2444.01215556001
1,"cf",2005,3181.61697605058
2,"cf",2005,3181.61697605058
1,"cf",2006,6243.63721537794
2,"cf",2006,6243.63721537794
1,"ph",1997,2831.93804531694
2,"ph",1997,2831.93804531694
1,"ph",1998,2596.09315877626
2,"ph",1998,2596.09315877626
1,"ph",1999,3090.16648860399
2,"ph",1999,3090.16648860399
1,"ph",2001,1015.04264462028
2,"ph",2001,1015.04264462028
1,"ph",2002,1031.63081764156
2,"ph",2002,1031.63081764156
1,"sb",2001,2717.64388994614
2,"sb",2001,2717.64388994614
1,"sb",2002,2669.34908353366
2,"sb",2002,2669.34908353366
1,"sb",2003,2893.90055338541
2,"sb",2003,2893.90055338541
1,"sb",2004,3131.95453002582
2,"sb",2004,3131.95453002582
1,"sb",2005,3999.58197004096
2,"sb",2005,3999.58197004096
1,"sb",2006,5788.79575376158
2,"sb",2006,5788.79575376158
1,"tour",2001,7580.70499604923
2,"tour",2001,7580.70499604923
1,"tour",2002,7609.22710712139
2,"tour",2002,7609.22710712139
1,"tour",2003,10526.5763763689
2,"tour",2003,10526.5763763689
1,"tour",2004,11815.8718880764
2,"tour",2004,11815.8718880764
1,"tour",2005,13044.3452579683
2,"tour",2005,13044.3452579683
1,"tour",2006,18205.711082176
2,"tour",2006,18205.711082176
1,"tran",2001,6751.04924824163
2,"tran",2001,6751.04924824163
1,"tran",2002,8253.04758446848
2,"tran",2002,8253.04758446848
1,"tran",2003,11890.2424434651
2,"tran",2003,11890.2424434651
1,"tran",2004,15289.9799401264
2,"tran",2004,15289.9799401264
1,"tran",2005,14337.5720597401
2,"tran",2005,14337.5720597401
1,"tran",2006,45139.2158008369
2,"tran",2006,45139.2158008369
