"rgn_id","year","count"
1,1990,262949.104179425
2,1990,1180743.92449689
1,1991,256524.624572193
2,1991,1151895.50804016
1,1992,247639.078058216
2,1992,1111995.94232399
1,1993,237323.510408234
2,1993,1065675.02456137
1,1994,227854.622808871
2,1994,1023156.03009823
1,1995,219065.63147315
2,1995,983690.03475098
1,1996,211338.078946847
2,1996,948990.313201683
1,1997,210236.018360773
2,1997,944041.631800027
1,1998,209072.556377413
2,1998,938817.234202167
1,1999,204381.596439728
2,1999,917752.996452563
1,2000,199184.039441897
2,2000,894413.940529303
1,2001,201424.614596684
2,2001,904474.995917376
1,2002,208431.703430342
2,2002,935939.554789218
1,2003,205675.545434014
2,2003,923563.331568097
1,2004,206710.464536261
2,2004,928210.521548599
1,2005,206417.954431361
2,2005,926897.0372137
1,2006,211847.898273501
2,2006,951279.600607379
1,2007,215580.665367892
2,2007,968041.179172248
1,2008,219513.160630876
2,2008,985699.615029524
1,2009,213849.133310381
2,2009,960265.925617539
1,2010,206547.62191459
2,2010,927479.29473272
1,2011,188855.620791973
2,2011,848035.316770097
1,2012,189726.107402589
2,2012,851944.140799171
