"rgn_id","year","popsum"
1,2005,201492.095989776
2,2005,871723.176000186
1,2006,172681.431705123
2,2006,765916.038570652
1,2007,170959.649331573
2,2007,759485.02810331
1,2008,169237.861618464
2,2008,753054.015280329
1,2009,167516.076153194
2,2009,746622.990192556
1,2010,191567.217958763
2,2010,835473.246348568
1,2011,164170.886866445
2,2011,733974.487505323
1,2012,162547.485908847
2,2012,727757.032018877
1,2013,160924.084448395
2,2013,721539.583082084
1,2014,159300.681355831
2,2014,715322.12389956
1,2015,182208.071085347
2,2015,800426.225760504
