"rgn_id","count","year"
1,2120979,1960
2,2120979,1960
1,2152681,1961
2,2152681,1961
1,2181586,1962
2,2181586,1962
1,2210919,1963
2,2210919,1963
1,2240623,1964
2,2240623,1964
1,2265919,1965
2,2265919,1965
1,2283217,1966
2,2283217,1966
1,2301220,1967
2,2301220,1967
1,2323619,1968
2,2323619,1968
1,2343173,1969
2,2343173,1969
1,2359164,1970
2,2359164,1970
1,2376389,1971
2,2376389,1971
1,2395674,1972
2,2395674,1972
1,2415819,1973
2,2415819,1973
1,2437186,1974
2,2437186,1974
1,2456130,1975
2,2456130,1975
1,2470989,1976
2,2470989,1976
1,2485073,1977
2,2485073,1977
1,2497921,1978
2,2497921,1978
1,2505953,1979
2,2505953,1979
1,2511701,1980
2,2511701,1980
1,2519421,1981
2,2519421,1981
1,2531080,1982
2,2531080,1982
1,2546011,1983
2,2546011,1983
1,2562047,1984
2,2562047,1984
1,2578873,1985
2,2578873,1985
1,2599892,1986
2,2599892,1986
1,2626583,1987
2,2626583,1987
1,2653434,1988
2,2653434,1988
1,2666955,1989
2,2666955,1989
1,2663151,1990
2,2663151,1990
1,2650581,1991
2,2650581,1991
1,2614338,1992
2,2614338,1992
1,2563290,1993
2,2563290,1993
1,2520742,1994
2,2520742,1994
1,2485056,1995
2,2485056,1995
1,2457222,1996
2,2457222,1996
1,2432851,1997
2,2432851,1997
1,2410019,1998
2,2410019,1998
1,2390482,1999
2,2390482,1999
1,2372985,2000
2,2372985,2000
1,2355011,2001
2,2355011,2001
1,2338624,2002
2,2338624,2002
1,2325342,2003
2,2325342,2003
1,2312819,2004
2,2312819,2004
1,2300512,2005
2,2300512,2005
1,2287948,2006
2,2287948,2006
1,2276100,2007
2,2276100,2007
1,2266094,2008
2,2266094,2008
1,2254834,2009
2,2254834,2009
1,2239008,2010
2,2239008,2010
1,2058184,2011
2,2058184,2011
1,2025473,2012
2,2025473,2012
